"Nazwa przedmiotu","Forma studiów","Forma zajęć","Godziny"
"Systemy operacyjne II","S1","L","118,67"
"Programowanie sieciowe","S2","W","17,33"
"Programowanie kart graficznych - Przedmiot obieralny IV","unknown","W","10,56"
"Programowanie 2","N1","L","42,89"
"Programowanie w językach skryptowych","unknown","W","17,33"
"Programowanie w językach skryptowych","unknown","L","56,67"
"Programowanie sieciowe","S2","L","17,33"
"Historia informatyki","unknown","W","13,22"
"Programowanie kart graficznych - Przedmiot obieralny IV","unknown","L","42,56"
"Programowanie wizualne","unknown","W","12,22"
"Programowanie wizualne","unknown","L","28,44"
